unique_id,ds,y
series_1,2024-01-01,100.5
series_1,2024-01-02,102.3
series_1,2024-01-03,101.8
series_1,2024-01-04,104.2
series_1,2024-01-05,106.1
series_1,2024-01-06,105.7
series_1,2024-01-07,107.9
series_1,2024-01-08,110.2
series_1,2024-01-09,109.5
series_1,2024-01-10,112.3
series_1,2024-01-11,114.1
series_1,2024-01-12,113.6
series_1,2024-01-13,115.8
series_1,2024-01-14,118.2
series_1,2024-01-15,117.9
series_1,2024-01-16,120.5
series_1,2024-01-17,122.3
series_1,2024-01-18,121.7
series_1,2024-01-19,124.6
series_1,2024-01-20,126.8
series_1,2024-01-21,126.2
series_1,2024-01-22,128.9
series_1,2024-01-23,131.2
series_1,2024-01-24,130.5
series_1,2024-01-25,133.7
series_1,2024-01-26,135.9
series_1,2024-01-27,135.1
series_1,2024-01-28,138.3
series_1,2024-01-29,140.6
series_1,2024-01-30,139.8
series_1,2024-01-31,142.9
series_1,2024-02-01,145.2
series_1,2024-02-02,144.6
series_1,2024-02-03,147.8
series_1,2024-02-04,150.1
series_1,2024-02-05,149.3
series_1,2024-02-06,152.7
series_1,2024-02-07,154.9
series_1,2024-02-08,154.2
series_1,2024-02-09,157.5
series_1,2024-02-10,159.8
series_1,2024-02-11,159.1
series_1,2024-02-12,162.4
series_1,2024-02-13,164.7
series_1,2024-02-14,164.0
series_1,2024-02-15,167.3
series_1,2024-02-16,169.6
series_1,2024-02-17,168.9
series_1,2024-02-18,172.2
series_1,2024-02-19,174.5
series_1,2024-02-20,173.8
series_1,2024-02-21,177.1
series_1,2024-02-22,179.4
series_1,2024-02-23,178.7
series_1,2024-02-24,182.0
series_1,2024-02-25,184.3
series_1,2024-02-26,183.6
series_1,2024-02-27,186.9
series_1,2024-02-28,189.2
series_1,2024-02-29,188.5
series_1,2024-03-01,191.8
series_1,2024-03-02,194.1
series_1,2024-03-03,193.4
series_1,2024-03-04,196.7
series_1,2024-03-05,199.0
series_1,2024-03-06,198.3
series_1,2024-03-07,201.6
series_1,2024-03-08,203.9
series_1,2024-03-09,203.2
series_1,2024-03-10,206.5
series_1,2024-03-11,208.8
series_1,2024-03-12,208.1
series_1,2024-03-13,211.4
series_1,2024-03-14,213.7
series_1,2024-03-15,213.0
series_1,2024-03-16,216.3
series_1,2024-03-17,218.6
series_1,2024-03-18,217.9
series_1,2024-03-19,221.2
series_1,2024-03-20,223.5
series_1,2024-03-21,222.8
